,1,2,3,4,5,6,7,8,9,10,11,12
Long-chain fatty acids,-1.834747729,-1.57717872,-0.876639641,-0.649454573,0.092881938,0.668535505,0.917843152,1.110052055,0.561364074,0.145136767,0.563740476,0.878466695
Phytoceramides,0.621698802,0.376239465,-1.502894889,-1.208703774,-0.593293258,0.374904762,1.464890266,-0.57692484,-0.527149786,1.837163761,-0.348096925,0.082166418
Phytoceramides.1,0.390138477,1.604974089,-0.647347663,0.721593529,-0.93500419,0.241487897,1.650492286,-1.099198375,-1.00571107,-0.468683946,-0.979223826,0.526482792
Fatty acid esters,-0.47447998,0.942328878,-0.734577929,-1.558859959,-0.325841671,0.619404105,-0.406270822,0.84632959,-1.5451661,0.164610378,1.042934542,1.429588969
Phosphoethanolamines,2.394229698,-0.383189437,0.780022202,-1.476462299,-0.519333167,0.530010157,-0.314987539,0.825127044,-0.536690164,-0.405407634,-0.172447848,-0.720871012
Long-chain fatty acids.1,-1.684534958,-1.601496033,-0.772874677,-0.814231244,0.420217755,0.80768377,1.395376887,0.389833772,0.629984463,-0.060035743,0.347860598,0.942215409
Phytoceramides.2,0.73726707,1.625115434,-0.712908675,-0.135301635,-0.452588195,0.188026408,0.764452362,-0.296102452,-0.602736045,-1.737634761,-0.872068813,1.494479301
Ceramides,-0.172899296,2.142812304,0.538978072,0.780258035,-0.263040892,0.8007224,0.593269509,-0.795542502,-0.784257895,-0.52733946,-0.827909084,-1.485051191
Phytoceramides.3,0.850277178,-0.115732333,-0.651071016,-0.199562839,-1.114194156,-1.236510749,-0.28649997,0.199877622,-0.331009841,2.329992631,-0.502322805,1.056756279
Lineolic acids and derivatives,-1.156403405,-1.149434383,-0.059530955,1.279645962,0.138103528,1.287450569,1.502291336,-1.008026161,-1.15733336,0.223195836,0.47230922,-0.372268188
Cinnamaldehydes,-1.117225957,-0.203227232,-0.298016846,-0.548768019,-0.147687362,1.449970959,-0.812475156,1.670323437,1.622531008,-0.532172078,-0.192564337,-0.890688417
Ceramides.1,0.541651765,1.388391088,0.253516423,-1.263467961,-1.007031748,0.728843314,0.526235535,-0.593482239,-0.592951669,-1.743322879,0.907967749,0.853650623
Secondary alcohols,-0.541568492,0.804862305,1.496511009,0.934284613,-0.361430956,0.51758281,1.401223764,-1.333453906,-1.127990457,-0.279774362,-0.358035333,-1.152210996
Phytoceramides.4,0.003085468,-0.503475283,-1.443943113,-0.29825903,-0.663942943,0.182363765,0.09408127,-1.50730298,0.164453957,1.613249762,1.629286626,0.730402501
Resorcinols,0.015936184,-1.277445241,-1.316412855,-1.434059335,1.177865651,-0.127275158,0.501769477,-0.657139093,1.10824322,0.076761725,1.408203922,0.523551503
Long-chain ceramides,-1.592773532,0.125331748,0.010136989,-0.887607064,-0.338991495,1.124954624,-0.098728392,0.410087587,-1.040227391,1.99074589,0.859798578,-0.562727542
Lineolic acids and derivatives.1,-0.951320789,-0.734128561,-0.645823099,-0.322854229,-0.570670959,-0.242341271,-0.177362976,-0.42597071,0.601230492,0.464715948,2.795783594,0.208742559
Fatty aldehydes,-1.751131259,-1.427583715,-0.822512887,-0.773705436,0.359222277,0.587327673,0.144833978,1.397997418,1.183857791,0.124952275,0.116293194,0.860448691
Long-chain fatty acids.2,-0.919275475,-1.174553159,0.730224127,-1.420490301,-0.385191587,2.122975226,0.122832954,0.547903203,0.910872848,0.250839345,-0.554375331,-0.231761849
Oligosaccharides,1.14808093,-1.190600698,-0.102648081,-1.762045325,0.82586184,0.545779089,-0.105213939,-1.046461939,1.555713087,-0.145840338,0.678587438,-0.401212064
Long-chain fatty acids.3,-2.003793586,0.769217155,-0.724623151,0.336729395,-0.617172817,-0.19677252,-0.012646671,2.01859944,0.294238301,-0.70341801,0.823710251,0.015932214
Medium-chain fatty acids,-1.332797575,-0.791827606,-1.043398101,-1.060999082,-0.091780064,-0.692158847,0.141988022,0.390655943,0.696472792,1.15783759,1.786481274,0.839525655
Fatty acyl glycosides of mono- and disaccharides,-0.323112325,0.105129381,1.527650413,0.116749103,0.319980223,0.149835359,1.477811787,-0.717509789,-1.575938846,-1.637964544,0.721275185,-0.163905947
Stigmastanes and derivatives,1.028207758,1.165457569,-0.287561188,0.078847402,-1.526636245,-0.56881713,1.707180224,-1.288719164,-0.377412968,-0.135324864,-0.63396525,0.838743855
Ceramides.2,1.332402045,1.209002965,0.897942759,0.349554601,0.196239169,0.349825106,-0.724598538,-1.499856736,-1.720828621,-0.830080081,0.495668564,-0.055271233
Saccharolipids,0.805356895,0.140470285,0.85323752,-1.842646907,0.810455515,-1.839743171,0.145233479,-0.788751656,0.630343225,-0.048092132,0.076755957,1.05738099
Long-chain fatty acids.4,-1.139414127,-0.805894189,-0.566599415,-1.059232967,-0.118152663,1.567585784,-0.148904547,1.630641443,-0.000899774,-0.917640068,0.331890936,1.226619585
Tyrosine and derivatives,0.655018973,1.993805995,0.377278347,-0.105692606,-0.23049543,-0.603888698,-0.89775069,-1.343357969,0.374894545,0.518375399,0.799683558,-1.537871425
Vitamin K compounds,0.227235929,2.439416935,-0.003518629,-0.802951701,-0.492917302,-0.722311106,-0.707879906,0.83771337,-0.820789211,0.337992531,0.735691381,-1.027682291
Long-chain fatty acids.5,-1.604865493,-0.801886536,-0.978984222,-0.852364681,-0.288739712,1.419956853,1.821539916,0.612209039,0.207998222,-0.190361873,0.258274866,0.397223622
Ceramides.3,0.862160925,1.276398465,-1.475726911,0.462856345,-1.168815249,0.20007592,1.006442801,-0.562922057,0.11662109,-0.736035692,-1.20378445,1.222728813
Glycosyl-N-acylsphingosines,1.218457487,-0.638585315,0.07219781,-0.400404132,0.537602368,0.342187917,1.942776595,-1.125687348,-0.904808889,-1.419477297,0.731095437,-0.355354633
Long-chain fatty acids.6,-1.465200393,-1.636541485,-0.845877682,-0.018621687,-0.513375675,1.043302617,0.483524537,0.079651188,-0.158315342,0.375891154,1.623182826,1.03237994
Phytoceramides.5,-0.828611828,-0.540408191,-1.406556396,-0.628924406,-1.392446669,1.511387239,-0.117754988,1.297628776,0.553962894,0.655858566,0.990240732,-0.094375727
Phenylalanine and derivatives,-1.91025224,-1.178822604,0.192963584,0.164833259,0.749225001,1.997227319,0.00180502,0.331107878,-0.840807737,-0.169182561,0.70670393,-0.044800848
Long-chain fatty acids.7,-1.74198024,-1.137212267,-1.061568761,-0.735853891,-0.426992036,0.673053936,0.105314814,0.762564142,1.04610564,0.687181306,1.432400463,0.396986893
Long-chain fatty acids.8,-0.53653686,-0.529415536,-0.421762572,-0.450450382,-0.200658837,-0.151197769,-0.344111392,-0.304490678,-0.230270955,0.095884628,3.116519627,-0.043509274
Quinoxalines,0.111001592,2.364391494,-1.297138419,0.301754939,0.384923395,0.18041976,-1.159065003,-1.211336945,-0.217485527,0.725790243,0.052175012,-0.235430543
Phenylpyridines,-0.805252362,0.364370084,-0.092393785,-0.312513366,0.453761454,0.410757648,-0.139469762,2.716645811,-0.370412242,-0.735968055,-1.269246781,-0.220278643
Stilbenes,-1.481083777,-1.141477597,-0.611712034,-0.756126125,-0.290173687,0.460120689,-0.127427012,2.019717836,-0.169784487,0.288632588,1.361356052,0.447957553
Ceramides.4,-2.654023931,-0.948423379,0.082522475,0.369436963,0.446609901,1.186119803,0.646226781,0.841073945,-0.334031544,0.190341271,0.184620843,-0.010473127
Long-chain fatty acids.9,-1.686404028,-1.275961734,-1.126740809,-0.723293427,-0.258294083,0.80316799,0.448589086,1.186194664,0.405275734,0.405906784,1.372911626,0.448648197
Long-chain fatty acids.10,-1.904000524,-1.150022079,-0.855542837,-0.672028928,0.026287009,0.4743967,-0.324702463,0.81279492,1.313553216,0.371654215,1.265097817,0.642512953
Stigmastanes and derivatives.1,0.660216481,1.422474607,-0.631718584,-1.044193943,-1.351962462,-0.607821725,1.227476527,-1.337016302,-0.274671226,1.032602607,0.385845828,0.518768192
Ceramides.5,0.264920967,1.449841669,1.006077087,0.601536815,-0.304873025,0.95776681,0.320643925,-0.832893679,-2.275139199,-0.405738941,-0.381240446,-0.400901983
Phytoceramides.6,0.626960134,1.210241949,-0.50911424,0.514672648,-0.573888147,0.242677052,1.855495659,-0.943263748,-1.604220383,-0.088453625,-1.089671648,0.358564349
Oligosaccharides.1,0.020438887,0.887799489,0.88315472,0.339811216,-0.859188389,0.0664982,2.037844322,-1.242328003,-1.320435403,-0.737194151,-0.580059251,0.503658364
Monomethylphosphatidylethanolamines,1.242696321,1.146448272,2.04007364,0.253635543,-0.565804351,-0.795654442,-0.592453605,0.375563473,-0.596825544,-0.734843469,-0.853162019,-0.91967382
Carotenes,-1.097710582,-1.522880517,-1.087087905,0.518128391,0.244155044,0.150925379,-0.494923503,-0.483881551,1.393485674,-0.110312301,1.697761488,0.792340384
Long-chain fatty acids.11,-0.880768358,-1.075541286,-0.654649648,0.130345016,-0.868361396,0.419909877,1.273979648,-0.416113752,-0.427207074,-0.310629271,0.490457758,2.318578487
Phytoceramides.7,-0.668431334,0.528183177,-1.32834262,-0.069870468,-1.050394464,0.947375997,-1.272820274,1.004968782,0.159979354,0.538998073,1.793741595,-0.583387818
Lineolic acids and derivatives.2,-1.000808743,-0.622625973,-0.84993586,-0.495224122,-1.366083899,0.090461505,0.23805972,-0.118739325,2.227447853,0.05569147,1.057407649,0.784349724
Tocopherols,-1.134145586,-1.045025903,-0.227436814,-0.758188991,0.688244658,2.199549342,0.761771874,0.64132566,0.096457432,-1.271955616,0.202702106,-0.153298162
Lineolic acids and derivatives.3,-1.242673996,-1.092178894,-1.287428902,-1.082579543,-0.426645534,0.734852696,-0.007148545,1.260750399,1.35933095,0.3780173,0.970431666,0.435272403
Methylpyridines,-0.225980494,0.2094576,-0.236590734,-1.106210309,-0.150787503,-1.207910239,-1.131683301,1.305465154,-0.966768038,1.384939611,0.911587351,1.214480903
Medium-chain keto acids and derivatives,-1.424517517,-0.136597937,0.170190417,-0.182141254,0.558373893,0.68894014,-0.121090546,2.018934467,1.202409855,-0.950571678,-0.907757016,-0.916172821
Oligosaccharides.2,1.021367908,1.721077419,0.011173584,-0.227650887,-0.342425129,-1.261143991,-0.753154581,1.601259014,-0.243080132,0.328437582,-1.255550696,-0.600310091
Short-chain keto acids and derivatives,-1.692390843,-0.73866338,-0.288656145,0.778305187,-0.387318756,-0.534070616,-0.943500701,0.237062533,0.985071951,1.969701843,0.797431905,-0.182972978
Long-chain fatty acids.12,-1.368175756,-0.948862232,-0.844381895,-0.728937694,-1.132938201,-0.302172516,0.79104914,0.147562202,0.813473471,1.156492704,1.065024505,1.351866273
Ceramides.6,-0.085494072,1.209489763,-1.275104205,-0.167246982,-0.946594281,0.66755071,0.440527745,0.908861825,0.668785979,-0.633308087,-1.86950463,1.082036236
Fatty acid esters.1,2.520141373,1.008388437,0.512180289,0.243726461,-0.077610939,-0.451238241,-0.667774413,-0.7973705,0.130059503,-0.940743982,-0.845213288,-0.6345447
Glycosyl-N-acylsphingosines.1,0.061209862,-0.06507265,0.215399444,1.464750483,0.10617198,-0.606212797,0.056292734,-1.017982973,-1.228754116,-0.974646217,2.20776064,-0.21891639
Secondary alcohols.1,-1.119413463,-0.686309393,-0.595779249,0.564404477,-0.215129602,1.963714746,1.217388877,-0.225682638,-1.576592952,-0.081199682,0.818895661,-0.064296783
Saccharolipids.1,-0.060906156,-1.446426224,-0.568925249,-0.250650645,-0.622231284,-1.429054026,1.198342461,1.381920756,-0.41185439,-0.009727882,1.343963789,0.87554885
Saccharolipids.2,-0.718035488,-1.322031373,-1.496781609,-1.087760608,-0.144170782,-0.087054602,0.820630616,1.501658659,1.052143223,0.318018991,1.067197045,0.096185928
Long-chain ceramides.1,-1.29111119,0.063237609,0.196138162,0.392886069,-1.246902648,0.695567549,1.829032351,-1.597190712,-0.261102153,0.834010384,0.618873222,-0.233438644
Glycosyldiacylglycerols,-0.072901808,0.145676436,2.832971645,0.311280773,-1.07808069,0.098345725,-0.183770539,0.156267297,-0.436134999,-1.077293741,-0.230952762,-0.465407338
Lineolic acids and derivatives.4,-1.041363188,-0.823785398,-0.676991768,-0.475833303,-0.787391028,0.604594357,1.54851418,1.639655819,1.312103156,-0.63034956,-0.072393017,-0.596760249
Lineolic acids and derivatives.5,-0.166146318,-1.668194489,-0.094957198,-1.392458188,-0.931027237,0.408903711,0.30547155,1.202637244,1.848021669,-0.170319112,0.269104947,0.388963422
Pyrimidine nucleotide sugars,0.693741376,-0.93899352,0.099258891,-1.247990897,0.203420898,0.536948919,-0.924416926,-1.323146456,2.120782797,0.339649975,0.681085633,-0.240340691
Long-chain fatty acids.13,-1.168027929,-1.060171757,0.07104783,-0.600063796,0.172550813,1.394085235,-1.387876946,-0.755447869,0.86051757,0.074261555,1.037444527,1.361680766
Lineolic acids and derivatives.6,-1.426803854,-0.051846915,-0.692751604,-0.594736084,-0.279399907,-0.350464059,-0.173933983,2.084640851,1.858899214,0.016660709,-0.292907397,-0.09735697
Long-chain fatty acids.14,-1.51035104,-0.55115678,-0.315064135,-1.069477846,-0.216911623,0.902522936,0.168567967,0.887481344,0.593612857,-1.302251097,1.723619245,0.689408171
Alpha amino acids and derivatives,0.448559414,-0.900186845,0.745451099,0.026810441,0.864261873,1.459090639,-0.4761832,0.789934807,0.716835472,-1.759217359,-0.595458156,-1.319898184
Glycerophosphoserines,0.553966562,1.483353954,0.485281067,1.018494501,-1.81665357,-0.669605451,0.621694453,-0.794099259,-0.760673124,0.6796955,-1.13980773,0.338353098
Hydroxybenzoic acid derivatives,-1.244950568,-0.039242509,0.382532714,-0.091231037,0.79027396,0.814240419,0.397055468,0.830143228,1.712396619,-1.246336746,-1.246503454,-1.058378093
Hexoses,-1.128152559,1.003071438,0.784189443,0.466346524,0.264297397,1.312086862,0.160384165,0.019427165,1.007601892,-1.208299937,-1.307623395,-1.373328996
Glycosylmonoacylglycerols,-2.395310834,-1.310963325,-0.047633474,-0.123498686,0.255900629,0.599440501,1.035811214,1.019869406,-0.30540113,0.785680178,-0.039591268,0.525696789
Purine ribonucleoside monophosphates,-1.410417231,-1.501470637,-1.224040375,0.324569842,0.055736288,0.285755392,0.603312414,1.881091964,1.054293944,0.142892768,-0.180244802,-0.031479566
Lineolic acids and derivatives.7,-1.468177282,-1.400518925,-0.940324858,-0.763315251,-0.289295688,0.459953199,0.052653052,0.630263017,0.039516736,0.856423741,1.440587263,1.382234996
Indolyl carboxylic acids and derivatives,-1.263006236,-0.546658484,-1.314368522,-1.501070886,-0.440606686,1.218856574,0.16850841,0.555544698,0.07203723,0.995312044,1.018946885,1.036504971
Long-chain ceramides.2,-1.669916433,-1.537017631,-0.466586612,-0.647779104,-0.301877834,1.322701709,1.113868774,0.690859329,-0.385947639,0.55800178,1.059697781,0.263995879
Vitamin D and derivatives,-1.030017448,-1.065692236,-0.363106336,-0.295523015,0.696521879,0.914659783,-0.197442033,1.97610848,1.159497804,-0.115154007,-0.315616274,-1.364236595
Methoxyphenols,-0.938687394,1.775455542,0.546333451,-1.352234751,-1.408801351,0.449280833,-1.009290673,0.831458618,0.534078011,0.522310172,-0.412979083,0.463076627
Glycosylmonoacylglycerols.1,-1.925254282,-1.485051592,-0.532849054,-0.568666453,0.131890075,0.641614281,0.786382361,0.349825412,-0.29877253,1.488091234,0.774218735,0.638571813
Glycosyl-N-acylsphingosines.2,-1.953795713,-0.451970753,1.420843162,0.263428948,0.760224616,1.187999855,0.827875724,0.495285748,-1.025078429,-0.38648847,-0.816339073,-0.321985614
Stigmastanes and derivatives.2,-1.634207348,-0.63317401,-1.408665399,0.56697654,-0.732559738,0.254172812,0.762382756,1.968222055,0.748344972,0.075652011,0.01616336,0.016691988
Lysophosphatidylglycerols,-1.760361757,-1.061329774,-0.093527818,-1.211988418,0.807487875,0.154524692,-0.659521199,1.481817344,0.879070018,0.94047862,0.574856351,-0.051505935
Phosphosphingolipids,1.213879833,1.854187763,0.682381788,0.009696396,0.066958344,-0.77141894,-1.309265889,0.59877612,0.367956477,-0.820996481,-1.364951623,-0.527203788
Phytoceramides.8,-1.072954279,1.838206537,-0.731646865,1.452704298,-0.059670926,-0.717442131,-0.707249681,-1.018874804,0.475543503,-0.221053614,-0.393976147,1.15641411
Ceramides.7,-1.234352411,-1.483121415,-1.282939075,-0.774824498,-0.160252952,0.6092653,1.605632753,0.803792363,0.047157781,0.563075816,0.997215853,0.309350486
Coumaric acids and derivatives,-1.199003651,0.026733094,-0.233815041,-0.955119105,0.265227307,1.034760211,-0.926997788,0.839436704,1.884137397,-0.503973965,0.898942199,-1.130327362
Vitamin D and derivatives.1,-0.955442608,0.737746657,-0.665904311,-1.098110414,-1.132908864,0.969823007,-1.070529663,0.676233351,-0.086808237,0.678969364,0.050857281,1.896074436
Medium-chain fatty acids.1,-1.067258247,0.388054621,-0.656914223,-1.170251982,-1.422810461,0.145053621,-0.436909123,2.133797009,0.439852651,0.437929819,0.564151952,0.645304363
Long-chain fatty acids.15,-1.627757308,-1.536466912,0.833993868,1.395622674,-0.48957268,0.452160954,0.665248005,-0.411698517,0.759523366,-0.671854424,1.044429497,-0.413628522
Stigmastanes and derivatives.3,-1.384474128,-0.621326673,-1.044053458,-0.095109582,-0.817985903,0.22108283,0.244550371,0.600342993,2.438678752,0.000562373,-0.222787465,0.680519891
Fatty acid esters.2,-0.395269711,0.540023554,0.531521371,-0.467330022,0.180386075,0.565177319,-0.77398816,1.845380157,1.243626571,-0.557496629,-1.638689669,-1.073340856
"Ergotamines, dihydroergotamines, and derivatives",-1.503588427,-0.855905301,-0.838485334,-0.808890275,0.937475611,0.880242798,0.354912742,1.272881203,1.668808803,-0.446313988,-0.177698548,-0.483439283
Stigmastanes and derivatives.4,-1.726746165,-0.697358323,-1.423554161,0.118275506,-0.644063051,0.568119174,1.199356805,1.479134263,0.227625649,0.088769128,-0.202879379,1.013320554
Phosphosphingolipids.1,-2.311737763,-1.549723479,0.559110457,0.78009061,0.730729276,0.619195971,-0.638973373,0.601255612,0.568293639,0.063655188,0.013548844,0.564555018
Long-chain fatty acids.16,-0.725279176,-1.457037618,-0.644566603,-0.519012241,0.528513692,1.6718663,1.765883543,0.659862351,-0.786840789,0.308118983,-0.437369793,-0.364138649
Alkyl-phenylketones,0.231354733,-1.386665233,1.801607678,-1.495381001,1.003471888,-0.974174488,-0.381807957,0.779832104,0.858844155,-0.165359097,-0.013551912,-0.258170869
Phytoceramides.9,-1.84858882,-1.642917116,0.273676442,0.658855454,0.322384648,0.666480381,0.693406172,0.339940119,-0.765258906,-0.150537313,1.611380493,-0.158821555
Oligosaccharides.3,-0.910571365,1.143705734,-0.258832661,-0.428005735,1.56177514,-0.274865354,0.275047199,0.456655051,0.56491049,-1.561296764,0.91893414,-1.487455875
Hydroxycinnamic acid glycosides,1.386667263,1.572946509,1.3914011,-0.231804623,0.683724942,-0.689408496,-0.798731338,-0.484719307,-0.00275403,-0.833442499,-1.236900795,-0.756978726
Hydroxycinnamic acids and derivatives,-1.580051965,1.000750633,0.016934027,-0.693670691,-1.124083864,1.08175007,-1.012751011,1.10680998,1.128241306,0.847114257,-0.230210372,-0.54083237
Ureas,-0.470138857,-2.041169402,0.687287429,-1.368451917,1.356032705,0.019577338,0.385961555,0.037833356,0.191684741,-0.073907209,-0.20573458,1.481024841
Phosphosphingolipids.2,0.383550755,0.596088028,-0.221651784,0.30187469,-1.012656385,0.93358748,1.161585434,1.73467824,-0.594469129,-1.268684538,-1.242542096,-0.771360696
Medium-chain 2-enoyl CoAs,0.190511837,0.46918961,0.967476019,2.46464894,0.028269271,-0.901703815,0.062641621,-1.274904676,-0.736950297,-0.455947679,-0.083946033,-0.729284798
Heteroaromatic compounds,0.677305133,-0.819061016,-0.55369122,-0.896912947,-0.279604798,1.250312428,-0.671755157,-0.55388627,-0.687427466,-0.735323412,1.632601796,1.637442929
Ceramides.8,-1.123722384,0.440226784,2.003882708,0.283820926,-0.310036464,0.600239764,-0.137233986,1.246175017,-0.893154312,-1.420591097,0.08273007,-0.772337026
Glycosyl-N-acylsphingosines.3,-1.542456689,-1.03497535,0.522659693,1.280904688,-1.32973935,0.158910674,-0.93489414,1.057841131,0.77951585,-0.418009244,0.749069231,0.711173508
Dipeptides,-0.540063035,-0.865795072,0.238312901,-1.051739065,0.644315244,1.613555956,-0.819436648,1.02360671,1.37550148,-0.324354751,0.135201222,-1.429104944
Vitamin D and derivatives.2,-0.94425699,1.592798271,1.070676181,-0.188321749,-0.271997756,1.687542406,-1.431368982,-0.993552024,-0.086455207,0.344847129,-0.415352984,-0.364558297
Fatty acid esters.3,-1.030610248,1.65532587,-0.434543204,-1.159988396,0.202867041,-0.238521737,-0.980660154,1.644360029,1.023169632,-0.274252565,0.385791526,-0.792937793
Phosphosphingolipids.3,-1.111625119,-0.708824685,-0.584896739,-0.874525145,0.436255292,-0.364975317,0.680671732,2.557401181,0.770334478,-0.371639487,-0.262149134,-0.166027057
Indoles,-0.004869461,-0.287717605,1.069496602,-1.080203227,2.141921709,0.60396683,0.292255918,0.562823771,-0.28140962,-1.091506358,-1.21616951,-0.708589047
Dipeptides.1,-1.453227655,-0.817032235,-1.108027193,-1.198979439,-0.372137264,0.269265995,0.082011029,0.971009242,0.298375206,0.559535583,1.666006893,1.103199836
Long-chain ceramides.3,-1.852294824,-1.761690372,-0.455310436,-0.107973649,-0.261950499,0.611494816,1.036194796,0.791881636,-0.379695781,0.900821166,0.904340116,0.574183032
Phytoceramides.10,-2.040547525,0.356737054,0.926303511,1.223965977,-0.811746726,0.959037018,0.997514361,0.213771182,-0.774389609,-0.983665617,-0.319702452,0.252722826
Hydroxycinnamic acids and derivatives.1,-0.723633177,0.439780817,0.46283259,-0.623875532,0.519170517,0.57843471,-0.800366685,1.955510359,1.053825298,-0.267979441,-1.476824263,-1.116875191
Heteroaromatic compounds.1,-1.661013675,-1.517012431,-1.067364463,-0.904764688,0.634739627,1.169053227,0.75420415,0.596370219,0.737726443,0.044876783,0.553598433,0.659586375
Isoflavonoid O-glycosides,-1.159578733,-0.277113449,-0.590944357,-0.482288104,-0.221300936,0.393222035,-0.041922764,0.218675706,0.626104781,-0.866329487,2.73656287,-0.335087563
Epigallocatechins,2.054860811,-0.923204361,-0.030863719,-1.600079829,0.881066263,0.251482905,0.249551832,-0.95224198,0.762175296,-0.539683423,0.502944922,-0.656008717
Coumaric acids and derivatives.1,-2.067142695,0.285077726,1.33953571,0.298639228,-0.072983178,0.166361761,0.840837823,-1.345788196,1.386299271,-0.10136489,-0.284773935,-0.444698626
Pyridines and derivatives,-1.131505324,0.03830308,-0.674239281,-0.331925638,-0.186452721,-1.277511107,-0.557653645,2.357918209,0.819019612,-0.339259634,0.698978079,0.584328371
Glycosyldiacylglycerols.1,-1.664283723,-0.215181702,0.448183251,1.741405527,-0.490570139,0.939810351,0.496067007,-0.382378214,-1.422076531,-0.291852427,1.118034434,-0.277157833
Glycosyldiacylglycerols.2,-1.680029631,-1.588404611,-0.523364278,1.005150058,-0.156553987,0.637532287,1.238917613,0.353809868,-0.519264854,-0.358224496,1.350410478,0.240021552
C20-gibberellin 6-carboxylic acids,-2.211315626,-1.561644334,0.035763374,-0.474822769,0.126849669,1.176604493,0.482839566,0.71577416,-0.170462372,0.698103988,0.795267566,0.387042285
Phosphoglycosphingolipids,0.834659559,-0.40488079,-0.282477382,-1.00371324,0.054928508,0.080162657,1.574491685,-0.294160246,2.008971971,-0.529310438,-1.222994501,-0.815677784
Biotin and derivatives,-0.497739444,-0.667578189,0.346166607,0.167605542,0.286662784,1.475377753,-0.939043347,1.111154488,1.600241329,-0.483188901,-0.965451923,-1.434206701
Fatty amides,-0.757746633,1.618969415,0.73787266,-0.762884399,-0.41204835,2.010256874,-1.185330887,-0.531626199,0.254277807,0.119479447,-0.775222954,-0.315996781
Alpha amino acids and derivatives.1,2.121106155,0.131270752,0.504868217,-0.203905352,-0.345111277,-0.964459514,-0.783002177,-0.457843904,0.073217472,-0.224185716,-1.383480538,1.531525882
Alpha amino acids,-0.955845176,1.378350095,-0.333738241,-1.226517891,-0.392459765,-0.663141979,-0.476325941,2.246451626,0.47434769,-0.183020332,0.533052428,-0.401152514
Ceramides.9,-0.495307237,-2.012017048,-0.602555122,-0.578113651,-0.9746507,0.462744076,0.885006365,1.763571035,0.021677199,0.787925753,0.537148973,0.204570356
Long-chain ceramides.4,-1.810068462,-1.629918626,-0.045563167,-0.051836507,-0.753802472,0.839301399,1.006609733,0.92440357,-0.547672525,1.034878122,0.608132421,0.425536514
Ceramides.10,-1.94234374,-0.6601719,0.930203594,-0.657380062,-0.91438582,1.320081363,0.556711059,1.070718359,0.655993808,-0.197806038,-0.77954117,0.617920548
Glycosyldiacylglycerols.3,-1.514134604,-1.503967176,-0.238431752,1.861400034,-0.19040469,0.004197133,1.030226356,-0.010784425,-0.573611732,-0.1620171,1.20956509,0.087962867
